relation_id,source_entity_id,relation_type,target_entity_id,source_chunk_id,source_page_id,pdf_page,printed_page,evidence_text,extraction_method,confidence
R_0000001,E_002453,USES_REAGENT,E_002750,C_0013_002,P_0013,13,1,"For example, one of the reagents needed for Gram staining is crystal violet, modified Hucker (reagent no.",explicit_sentence_rule,0.9
R_0000002,E_002588,USES_EQUIPMENT,E_001197,C_0030_002,P_0030,30,18,This can be done by scraping with a knife but take care not to damage the wire inside.,explicit_sentence_rule,0.88
R_0000003,E_002625,USES_EQUIPMENT,E_000799,C_0045_001,P_0045,45,33,"Hot-air oven If the laboratory is fairly large, a small hot-air oven is useful for drying glassware and for sterilization in conjunction with the autoclave (see section 3.",explicit_sentence_rule,0.88
R_0000004,E_002631,USES_EQUIPMENT,E_001508,C_0054_001,P_0054,54,42,"53 Components of a wash bottle — light plastic box — glass jar specially designed for stool collection, with a spoon at- tached to the stopper.",explicit_sentence_rule,0.88
R_0000005,E_002459,HAS_MEASUREMENT,E_001874,C_0101_003,P_0101,101,89,"If the object to be sterilized is heavy or bulky or if it includes powders, oils or petroleum jelly, heat at 175°C for 2 hours.",explicit_sentence_rule,0.88
R_0000006,E_002459,HAS_MEASUREMENT,E_001880,C_0101_003,P_0101,101,89,"If the object to be sterilized is heavy or bulky or if it includes powders, oils or petroleum jelly, heat at 175°C for 2 hours.",explicit_sentence_rule,0.88
R_0000007,E_002378,DETECTS,E_002009,C_0103_002,P_0103,103,91,"For example, serological examinations for treponemal infection or typhoid; culture of stools for detection of cholera vibrio; and histological examination of biopsy material.",explicit_sentence_rule,0.93
R_0000008,E_002463,DETECTS,E_000513,C_0107_001,P_0107,107,95,"This type of examination is called histopathology and can be most important, particularly for the diagnosis of cancer.",explicit_sentence_rule,0.93
R_0000009,E_002318,USES_EQUIPMENT,E_000968,C_0110_002,P_0110,110,98,G Bathe the affected skin with cotton wool soaked in a 5% solution of sodium carbonate.,explicit_sentence_rule,0.88
R_0000010,E_001983,CAUSES,E_000548,C_0119_001,P_0119,119,107,"for culture of cholera and other bacteria that cause dysentery), see section 5.",explicit_sentence_rule,0.94
R_0000011,E_002512,EXAMINES,E_003053,C_0119_002,P_0119,119,107,3 Microscopic examination Direct microscopic examination of faeces in saline or iodine suspension is useful Fig.,explicit_sentence_rule,0.92
R_0000012,E_002585,USES_EQUIPMENT,E_001711,C_0120_002,P_0120,120,108,For the saline preparation use the ¥10 and ¥40 objectives and a ¥5 eyepiece.,explicit_sentence_rule,0.88
R_0000013,E_002585,USES_EQUIPMENT,E_001716,C_0120_002,P_0120,120,108,For the saline preparation use the ¥10 and ¥40 objectives and a ¥5 eyepiece.,explicit_sentence_rule,0.88
R_0000014,E_000574,HAS_FINDING,E_001726,C_0137_001,P_0137,137,125,"4 Intestinal helminths Helminth infections cause a variety of clinical symptoms including abdominal cramps, fever, weight loss, vomiting, appendicitis, blood loss, anaemia and eosino- philia.",explicit_sentence_rule,0.89
R_0000015,E_000574,HAS_FINDING,E_001760,C_0137_001,P_0137,137,125,"4 Intestinal helminths Helminth infections cause a variety of clinical symptoms including abdominal cramps, fever, weight loss, vomiting, appendicitis, blood loss, anaemia and eosino- philia.",explicit_sentence_rule,0.89
R_0000016,E_000574,HAS_FINDING,E_001843,C_0137_001,P_0137,137,125,"4 Intestinal helminths Helminth infections cause a variety of clinical symptoms including abdominal cramps, fever, weight loss, vomiting, appendicitis, blood loss, anaemia and eosino- philia.",explicit_sentence_rule,0.89
R_0000017,E_000574,HAS_FINDING,E_001844,C_0137_001,P_0137,137,125,"4 Intestinal helminths Helminth infections cause a variety of clinical symptoms including abdominal cramps, fever, weight loss, vomiting, appendicitis, blood loss, anaemia and eosino- philia.",explicit_sentence_rule,0.89
R_0000018,E_002340,DETECTS,E_002206,C_0153_001,P_0153,153,141,Cellophane faecal thick-smear technique for diagnosis of Schistosoma Fig.,explicit_sentence_rule,0.93
R_0000019,E_002442,DETECTS,E_001974,C_0164_001,P_0164,164,152,"1 Flotation technique using sodium chloride solution (Willis) This method is recommended for the detection of eggs of Ancylostoma duodenale and Necator americanus (best method), Ascaris lumbricoides, Hymenolepis nana, Taenia spp.",explicit_sentence_rule,0.93
R_0000020,E_002442,DETECTS,E_001979,C_0164_001,P_0164,164,152,"1 Flotation technique using sodium chloride solution (Willis) This method is recommended for the detection of eggs of Ancylostoma duodenale and Necator americanus (best method), Ascaris lumbricoides, Hymenolepis nana, Taenia spp.",explicit_sentence_rule,0.93
R_0000021,E_002442,DETECTS,E_002114,C_0164_001,P_0164,164,152,"1 Flotation technique using sodium chloride solution (Willis) This method is recommended for the detection of eggs of Ancylostoma duodenale and Necator americanus (best method), Ascaris lumbricoides, Hymenolepis nana, Taenia spp.",explicit_sentence_rule,0.93
R_0000022,E_002442,DETECTS,E_002159,C_0164_001,P_0164,164,152,"1 Flotation technique using sodium chloride solution (Willis) This method is recommended for the detection of eggs of Ancylostoma duodenale and Necator americanus (best method), Ascaris lumbricoides, Hymenolepis nana, Taenia spp.",explicit_sentence_rule,0.93
R_0000023,E_002424,USES_EQUIPMENT,E_001265,C_0168_002,P_0168,168,156,"Stain with iodine solution for 1 minute and then examine under the microscope, using the ¥10 objective.",explicit_sentence_rule,0.88
R_0000024,E_002424,USES_EQUIPMENT,E_001712,C_0168_002,P_0168,168,156,"Stain with iodine solution for 1 minute and then examine under the microscope, using the ¥10 objective.",explicit_sentence_rule,0.88
R_0000025,E_002148,TRANSMITTED_BY,E_003210,C_0172_001,P_0172,172,160,"Microfilariae are transmitted by mosquitoes, flies and midges, which feed on the blood of infected humans.",explicit_sentence_rule,0.96
R_0000026,E_002148,TRANSMITTED_BY,E_003217,C_0172_001,P_0172,172,160,"Microfilariae are transmitted by mosquitoes, flies and midges, which feed on the blood of infected humans.",explicit_sentence_rule,0.96
R_0000027,E_002148,TRANSMITTED_BY,E_003218,C_0172_001,P_0172,172,160,"Microfilariae are transmitted by mosquitoes, flies and midges, which feed on the blood of infected humans.",explicit_sentence_rule,0.96
R_0000028,E_002342,HAS_MEASUREMENT,E_001889,C_0174_002,P_0174,174,162,Centrifuge the liquid (after removing the piece of skin) at medium speed (2000g) for 5 minutes.,explicit_sentence_rule,0.88
R_0000029,E_002342,HAS_MEASUREMENT,E_001930,C_0174_002,P_0174,174,162,Centrifuge the liquid (after removing the piece of skin) at medium speed (2000g) for 5 minutes.,explicit_sentence_rule,0.88
R_0000030,E_002512,EXAMINES,E_003199,C_0174_002,P_0174,174,162,Microscopic examination Examine the wet preparation under the microscope using the ¥10 ob- jective.,explicit_sentence_rule,0.92
R_0000031,E_002512,USES_EQUIPMENT,E_001265,C_0174_002,P_0174,174,162,Microscopic examination Examine the wet preparation under the microscope using the ¥10 ob- jective.,explicit_sentence_rule,0.88
R_0000032,E_002140,CAUSES,E_000604,C_0175_001,P_0175,175,163,Other microfilariae found in skin biopsies Mansonella streptocerca causes an itchy dermatitis of the infected area.,explicit_sentence_rule,0.94
R_0000033,E_002148,FOUND_IN,E_000253,C_0175_001,P_0175,175,163,Its microfilariae are found in the skin and differ from Onchocerca volvulus in the following ways (Fig.,explicit_sentence_rule,0.92
R_0000034,E_002618,DETECTS,E_002148,C_0178_001,P_0178,178,166,Staining is generally required to identify microfilariae in blood smears.,explicit_sentence_rule,0.93
R_0000035,E_002512,USES_EQUIPMENT,E_001265,C_0190_001,P_0190,190,178,178 Manual of basic techniques for a health laboratory Microscopic examination Examine the slide under the microscope using the ¥100 objective.,explicit_sentence_rule,0.88
R_0000036,E_002512,USES_EQUIPMENT,E_001713,C_0190_001,P_0190,190,178,178 Manual of basic techniques for a health laboratory Microscopic examination Examine the slide under the microscope using the ¥100 objective.,explicit_sentence_rule,0.88
R_0000037,E_002558,USES_EQUIPMENT,E_000918,C_0194_002,P_0194,194,182,"Remember: For proper identification and reliable parasite counting, use clean slides and well-made and well-stained thick films.",explicit_sentence_rule,0.88
R_0000038,E_002571,USES_EQUIPMENT,E_000918,C_0194_002,P_0194,194,182,"Remember: For proper identification and reliable parasite counting, use clean slides and well-made and well-stained thick films.",explicit_sentence_rule,0.88
R_0000039,E_000492,TRANSMITTED_BY,E_003228,C_0195_002,P_0195,195,183,Sources of infection and modes of transmission African trypanosomiasis is transmitted by tsetse flies (Glossina spp.,explicit_sentence_rule,0.96
R_0000040,E_002555,USES_EQUIPMENT,E_000830,C_0198_001,P_0198,198,186,Sterilize the pad of the third finger then prick with the blood lancet.,explicit_sentence_rule,0.88
R_0000041,E_002512,USES_EQUIPMENT,E_001329,C_0199_001,P_0199,199,187,"Microscopic examination of venous blood concentrated by centrifugation Materials and reagents G Microscope G Microscope slides G Coverslips G Centrifuge or microhaematocrit centrifuge G Conical centrifuge tubes with a mark at 10ml or microhaematocrit capillary tubes G Pasteur pipette G Trisodium citrate, 3.",explicit_sentence_rule,0.88
R_0000042,E_002338,DETECTS,E_000492,C_0200_002,P_0200,200,188,Card agglutination trypanosomiasis test (CATT) for African trypanosomiasis The card agglutination trypanosomiasis test (CATT) is a serological test that is used for the diagnosis of African trypanosomiasis.,explicit_sentence_rule,0.93
R_0000043,E_000741,HAS_FINDING,E_001723,C_0206_001,P_0206,206,194,"Clinically, the early phases of visceral leishmaniasis are characterized by chronic irregular fever, cough, diarrhoea and bleeding of the",explicit_sentence_rule,0.89
